Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
Afghanistan,225659,7946,206248,11465,5537,195,1302555,31961,40754388
Albania,334726,3602,329428,1696,116777,1257,1941032,677173,2866374
Algeria,271852,6881,183061,81910,5995,152,230960,5093,45350148
Andorra,48015,165,47563,287,619844,2130,249838,3225256,77463
Angola,105384,1934,103419,31,3009,55,1499795,42818,35027343
Anguilla,3904,12,3879,13,256336,788,51382,3373736,15230
Antigua and Barbuda,9106,146,8954,6,91509,1467,18901,189943,99509
Argentina,10064948,130576,9932643,1729,218755,2838,35716069,776264,46010234
Armenia,449357,8751,435162,5444,151199,2945,3242901,1091164,2971966
Aruba,44224,292,42438,1494,410969,2714,177885,1653068,107609
Australia,11758693,22687,11731218,4788,451064,870,81916639,3142326,26068792
Austria,6081287,22542,6054934,3811,670727,2486,211273524,23302116,9066710
Azerbaijan,832312,10302,821881,129,80805,1000,7674567,745089,10300205
Bahamas,38084,844,36366,874,95087,2107,257839,643767,400516
Bahrain,727547,1573,725332,642,407822,882,10913376,6117422,1783983
Bangladesh,2045408,29477,1998448,17483,12183,176,15254399,90862,167885689
Barbados,109503,620,108647,236,380188,2153,801451,2782594,288023
Belarus,994037,7118,985592,1327,105381,755,13646641,1446722,9432800
Belgium,4809688,34376,4769079,6233,412202,2946,37018657,3172590,11668278
Belize,70782,688,70085,9,171722,1669,576016,1397453,412190
Benin,28014,163,27847,4,2191,13,604310,47268,12784726
Bermuda,18860,165,18685,10,304493,2664,1029558,16622128,61939
Bhutan,62697,21,61564,1112,79571,27,2303734,2923739,787941
Bolivia,1207206,22399,1177145,7662,100662,1868,2710261,225993,11992656
Bosnia and Herzegovina,403070,16352,379084,7634,124048,5032,1884721,580036,3249317
Botswana,330251,2801,327049,401,135284,1147,2026898,830300,2441162
Brazil,37789040,705313,36249161,834566,175474,3275,63776166,296146,215353593
British Virgin Islands,7305,64,,,238757,2092,107339,3508269,30596
Brunei,310522,225,243601,66696,697127,505,717784,1611437,445431
Bulgaria,1311707,38456,1271187,2064,191641,5618,11344922,1657500,6844597
Burkina Faso,22056,396,21596,64,998,18,248995,11265,22102838
Burundi,54241,38,53569,634,4296,3,345742,27386,12624840
CAR,15368,113,15200,55,3063,23,81294,16205,5016678
Cabo Verde,64238,415,63755,68,113159,731,401622,707482,567678
Cambodia,138940,3056,135884,0,8093,178,3091420,180062,17168639
Cameroon,125090,1974,122807,309,4482,71,1751774,62762,27911548
Canada,4716000,53541,4648330,14129,122850,1395,66388390,1729386,38388419
Caribbean Netherlands,11682,38,10476,1168,438398,1426,30126,1130559,26647
Cayman Islands,31472,37,8553,22882,467797,550,222773,3311280,67277
Chad,7701,194,4874,2633,442,11,191341,10988,17413580
Channel Islands,101717,228,101321,168,576421,1292,1252808,7099551,176463
Chile,5291598,64497,5227013,88,274885,3350,49979167,2596294,19250195
China,503302,5272,379053,118977,347,4,160000000,110461,1448471400
Colombia,6378000,142961,6190683,44356,123814,2775,36951507,717327,51512762
Comoros,9109,161,8939,9,10038,177,,,907419
Congo,25375,386,24006,983,4377,67,347815,59991,5797805
Cook Islands,7152,2,7150,0,407034,114,19690,1120596,17571
